"","Date","Hour","MCP","RenewableProportion","Consumption","FuelPrice","Generation","BilateralContacts.Consumption","day","lag_24","NegativeSpecialDays","PositiveSpecialDays","PredictedMCP_LR","PredictedMCP_SGB","PredictedMCP_DT","PredictedMCP_RF","PredictedMCP_BN"
"7196",2019-10-27,"19",57.19,0.39855637117704,31537.16,0.734973962415313,31441.6,0.817013960673694,"Sunday",57.82,"1","0",48.6139755759238,52.9484695282074,51.2705003859919,50.8809664748333,48.5421255111868
"7197",2019-10-27,"20",56.8,0.381130468361824,30808.01,0.734973962415313,30712.58,0.828511805858282,"Sunday",57.02,"1","0",48.3745561058286,49.6308627291779,51.2705003859919,52.9639855200768,47.8814031650205
"7198",2019-10-27,"21",56.23,0.367137490663606,30119.7,0.734973962415313,30030.33,0.839171704897459,"Sunday",56.27,"1","0",47.7012316972898,49.2393197872575,51.2705003859919,51.4720629097246,47.2018700114105
"7199",2019-10-27,"22",55.8,0.347151838074269,28839.74,0.734973962415313,28745.03,0.850926534011749,"Sunday",55.78,"1","0",46.1510164276278,47.7762070884293,51.2705003859919,47.5968798846692,46.250142278443
"7200",2019-10-27,"23",52,0.327503744489199,27770.37,0.734973962415313,27847.59,0.869826365295097,"Sunday",51.38,"1","0",42.3690112124245,42.7326283071354,51.2705003859919,45.4074457412957,43.886568762616
"7201",2019-10-28,"0",34.73,0.332212819637811,26173.13,0.732842456237844,26080.3,0.963075490015906,"Monday",44.36,"1","0",43.1868510583389,40.1355383642601,39.0919106753815,41.9475337959204,38.3234130882764
"7202",2019-10-28,"1",51.13,0.291774794817611,24829.47,0.732842456237844,24735.31,0.943334674481574,"Monday",48.57,"1","0",45.2181390976655,39.9734766961382,51.2705003859919,42.6142310310096,40.0973334545619
"7203",2019-10-28,"2",52.1,0.263246708142064,23936.41,0.732842456237844,23840.64,0.928693985438919,"Monday",48.57,"1","0",43.9413415735216,39.033903577785,51.2705003859919,37.5826285081099,40.261972494169
"7204",2019-10-28,"3",47.66,0.254213648627324,23606,0.732842456237844,23509.91,0.941608065745997,"Monday",34.73,"1","0",37.2666664190223,33.1432243649182,39.0919106753815,32.7527975426803,34.6884396353097
"7205",2019-10-28,"4",47.66,0.250561233266776,23465.03,0.732842456237844,23368.18,0.939794238490213,"Monday",34.73,"1","0",36.4037077603895,33.1432243649182,39.0919106753815,34.1094617728574,34.6858329594549
"7206",2019-10-28,"5",52.96,0.251075370476046,23681.83,0.732842456237844,23587.22,0.935996078005796,"Monday",34.73,"1","0",36.9236423723974,33.1432243649182,39.0919106753815,32.711644189721,34.9133900756715
"7207",2019-10-28,"6",54.12,0.259712964852455,24500.09,0.732842456237844,24403.98,0.899555879182485,"Monday",52,"1","0",44.2218186155865,40.1143817880106,51.2705003859919,40.5418690263484,42.5752562904208
"7208",2019-10-28,"7",54.47,0.258207226529114,25661.66,0.732842456237844,25564.97,0.858210263872251,"Monday",34.53,"1","0",40.6457451683781,35.9192496529444,39.0919106753815,40.5694024618699,37.4755713299117
"7209",2019-10-28,"8",55.91,0.309152437712914,28924.37,0.732842456237844,28826.2,0.842777215199501,"Monday",28.6,"1","0",41.0884129743595,41.813134073694,39.0919106753815,42.2301668479495,36.923494682891
"7210",2019-10-28,"9",56.55,0.354957463059155,30341.57,0.732842456237844,30244.3,0.867740199337081,"Monday",17.37,"1","0",36.8853915274171,40.1137803212743,39.0919106753815,43.3113978623233,32.2983856878634
"7211",2019-10-28,"10",56.72,0.360958724501245,30756.76,0.732842456237844,30660.32,0.862685146289791,"Monday",28.61,"1","0",41.4627350224233,41.4506779926884,39.0919106753815,41.1283489337157,36.904819696323
"7212",2019-10-28,"11",56.92,0.375958043093168,30531.05,0.732842456237844,30433.13,0.876429077938689,"Monday",34.52,"1","0",43.5110295057293,42.6173498621322,39.0919106753815,46.5747239328516,38.4131497748644
"7213",2019-10-28,"12",55.27,0.348218045886347,29255.54,0.732842456237844,29159,0.906553083621085,"Monday",28.65,"1","0",38.1292716703537,41.0902651647147,39.0919106753815,39.6260888392055,35.3217415793453
"7214",2019-10-28,"13",55.52,0.341678080609613,29535.48,0.732842456237844,29437.68,0.897930218164729,"Monday",28.65,"1","0",38.9074181227399,41.0902651647147,39.0919106753815,41.6089342786935,35.8493037007517
"7215",2019-10-28,"14",56.11,0.347412512576753,30560.42,0.732842456237844,30462.95,0.868296312681567,"Monday",31.26,"1","0",42.1808403766893,41.4506779926884,39.0919106753815,43.283042293237,38.0155352561972
"7216",2019-10-28,"15",56.44,0.357871825104301,30784.13,0.732842456237844,30685.26,0.85916671999501,"Monday",30.21,"1","0",40.9788130389006,41.4506779926884,39.0919106753815,39.3695520693032,37.672393182889
"7217",2019-10-28,"16",56.45,0.366765305581613,31417.36,0.732842456237844,31319.62,0.838434547014771,"Monday",48.57,"1","0",48.5217453708375,47.8479497769249,51.2705003859919,48.6469729206894,45.3622076617331
"7218",2019-10-28,"17",57.3,0.373502334060799,32603.58,0.732842456237844,32505.58,0.80103780014342,"Monday",55.64,"1","0",52.4756676985216,55.1165423831261,51.2705003859919,53.7027778348147,49.4712397938135
"7219",2019-10-28,"18",57.97,0.393434923994014,33251.44,0.732842456237844,33153.31,0.788404953289241,"Monday",57.04,"1","0",53.3893017602197,54.3524718501412,51.2705003859919,53.8437857384108,50.2473951179075
"7220",2019-10-28,"19",57.35,0.394007736487581,32818.51,0.732842456237844,32722.86,0.800532991899998,"Monday",57.19,"1","0",53.693052808032,54.1377599996066,51.2705003859919,53.4282761859744,49.7458036896296
"7221",2019-10-28,"20",56.76,0.378976306170066,31861.8,0.732842456237844,31766.92,0.81658286725797,"Monday",56.8,"1","0",53.3077341101121,54.1484876363272,51.2705003859919,53.6575339732737,48.9229093043302
"7222",2019-10-28,"21",56.03,0.345860847029106,30864.56,0.732842456237844,30768.01,0.832501743099529,"Monday",56.23,"1","0",52.9551525525267,52.1924788437731,51.2705003859919,53.6979165475384,48.4504730106284
"7223",2019-10-28,"22",55.15,0.325420752380372,29650.34,0.732842456237844,29554.2,0.848212870408906,"Monday",55.8,"1","0",51.4042830277473,50.6539416291581,51.2705003859919,50.0211169827793,47.532763636371
"7224",2019-10-28,"23",54.34,0.304270727808209,28315.54,0.732842456237844,28518.09,0.877903087845049,"Monday",52,"1","0",47.339266507564,45.8648585977294,51.2705003859919,48.4342030764027,45.0737868396907
"7225",2019-10-29,"0",53.98,0.298904999907001,26438.4,0.732842456237844,26344.29,0.922491527475188,"Tuesday",34.73,"1","0",38.7125318287897,35.0726017667743,39.0919106753815,41.5045807136284,36.2636840531793
"7226",2019-10-29,"1",54.11,0.263801708668066,25164.63,0.732842456237844,25070.99,0.900804025332381,"Tuesday",51.13,"1","0",45.2273897567151,39.5751129634561,51.2705003859919,42.2291064430866,42.6870369967932
"7227",2019-10-29,"2",54,0.229377017027579,24281.7,0.732842456237844,24187.82,0.889591750165763,"Tuesday",52.1,"1","0",44.4227183182546,39.5751129634561,51.2705003859919,41.7653531129901,43.3320047771655
"7228",2019-10-29,"3",47.76,0.218323181673517,23721.12,0.732842456237844,23628.32,0.909548115771937,"Tuesday",47.66,"1","0",41.0391952890092,38.309241082989,51.2705003859919,41.3665346497345,41.1310172511818
